LHS,RHS,Count
,S,1763
S,"PP-LOC , NP-SBJ VP .",41
PP-LOC,IN NP,586
IN,In,71
NP,NP PP PRN,2
NP,DT NNP CD NN,2
DT,an,157
NNP,Oct.,8
CD,19,8
NN,review,4
PP,IN NP,2158
IN,of,1170
NP,`` NP-TTL '' PP-LOC,1
``,``,353
NP-TTL,DT NN,1
DT,The,393
NN,Misanthrope,1
'','',340
IN,at,222
NP,NP NNP NNP,11
NP,NNP POS,147
NNP,Chicago,5
POS,'s,422
NNP,Goodman,1
NNP,Theatre,1
PRN,"-LRB- `` S-HLN , '' NP-TMP -RRB-",1
-LRB-,-LRB-,75
S-HLN,NP-SBJ VP,5
NP-SBJ,VBN NNS,1
VBN,Revitalized,1
NNS,Classics,1
VP,VBP NP PP-LOC,8
VBP,Take,1
NP,DT NN,1025
DT,the,2112
NN,Stage,1
IN,in,759
NP,NNP NNP,326
NNP,Windy,1
NNP,City,3
",",",",2417
NP-TMP,NN CC NNS,1
NN,Leisure,1
CC,&,40
NNS,Arts,1
-RRB-,-RRB-,75
NP-SBJ,"NP , VP ,",15
NP,NP PP,1161
NN,role,7
NP,NNP,465
NNP,Celimene,1
VP,VBN NP PP,108
VBN,played,4
NP,-NONE-,634
-NONE-,*,1508
PP,IN NP-LGS,144
IN,by,240
NP-LGS,NNP NNP,13
NNP,Kim,2
NNP,Cattrall,1
VP,VBD VP,187
VBD,was,202
VP,ADVP-MNR VBN NP PP-CLR,1
ADVP-MNR,RB,105
RB,mistakenly,2
VBN,attributed,1
PP-CLR,TO NP,110
TO,to,1112
NNP,Christina,1
NNP,Haag,2
.,.,1942
S,NP-SBJ VP .,873
NP-SBJ,NNP NNP,211
NNP,Ms.,14
VP,VBZ NP,151
VBZ,plays,4
NNP,Elianti,1
NP-SBJ,NNP NNP NNPS NNP,3
NNP,Rolls-Royce,1
NNP,Motor,6
NNPS,Cars,1
NNP,Inc.,50
VP,VBD SBAR,254
VBD,said,255
SBAR,-NONE- S,351
-NONE-,0,475
S,NP-SBJ VP,2105
NP-SBJ,PRP,760
PRP,it,219
VP,VBZ S,86
VBZ,expects,9
NP-SBJ,PRP$ NNP NNS,2
PRP$,its,157
NNP,U.S.,118
NNS,sales,43
VP,TO VP,667
VP,VB ADJP-PRD PP-LOC-CLR PP-TMP,1
VB,remain,4
ADJP-PRD,JJ,149
JJ,steady,3
PP-LOC-CLR,IN NP,64
NP,QP NNS,63
QP,IN CD,15
IN,about,74
CD,"1,200",1
NNS,cars,15
PP-TMP,IN NP,337
NP,CD,163
CD,1990,7
S,NP-SBJ NP-TMP VP,5
NP-SBJ,DT NN NN NN,2
NN,luxury,6
NN,auto,17
NN,maker,18
NP-TMP,JJ NN,26
JJ,last,30
NN,year,95
VP,VBD NP PP-LOC,6
VBD,sold,3
NP,CD NNS,135
CD,"1,214",1
NP,DT NNP,91
NP-SBJ,"NP , NP ,",61
NNP,Howard,1
NNP,Mosher,1
NP,NP CC NP,161
NP,NN,577
NN,president,57
CC,and,858
NP,JJ NN NN,20
JJ,chief,24
NN,executive,25
NN,officer,22
PRP,he,188
VBZ,anticipates,2
NP,NP PP PP-LOC,14
NN,growth,10
IN,for,402
NP,DT NN NN NN,13
PP-LOC,"PP , CC PP",2
NP,NNP CC NNP,21
NNP,Britain,7
NNP,Europe,21
NP,ADJP NNS,23
ADJP,JJ JJ,5
JJ,Far,1
JJ,Eastern,2
NNS,markets,19
NP-SBJ,NNP NNP NNP,14
NNP,BELL,1
NNP,INDUSTRIES,1
VP,VBD NP PP-DIR PP-DIR,1
VBD,increased,4
NP,PRP$ NN,138
NN,quarterly,1
PP-DIR,TO NP,76
CD,10,34
NNS,cents,22
PP-DIR,IN NP,86
IN,from,215
NP,NP NP-ADV,31
CD,seven,4
NP-ADV,DT NN,38
DT,a,1002
NN,share,49
NP-SBJ,DT JJ NN,56
JJ,new,85
NN,rate,22
VP,MD VP,442
MD,will,173
VP,VB ADJP-PRD,51
VB,be,205
ADJP-PRD,JJ NP-TMP,2
JJ,payable,4
NP-TMP,NNP CD,18
NNP,Feb.,2
CD,15,19
